location,min_temp,avg_min_temp,mean_RH,avg_avg_RH,max_temp,mean_temp,sd_temp,min_RH,max_RH,sd_RH,n_temp,var_min_temp,var_RH
DE_Air,-9.712777777777779,4.392207537934411,67.55760866345798,67.54247886511433,34.57222222222222,9.768229153811346,8.335615592553584,24.204,93.938,15.917548341837136,5402,7.283500437583438,12.438239962466774
incubator1,-0.17111111111111102,19.345818022747157,68.14793680052667,68.1420868016498,28.866111111111113,20.057368517299395,1.8307955516426138,35.227,99.517,6.433362216886128,1522,2.4702278916921503,5.934052338548764
incubator2,-0.11611111111111092,20.202852143482065,60.93642593811718,60.94742754030746,28.79111111111111,21.91166227781435,2.2877089673356505,42.906,100,7.099450092800849,1522,2.5914855737103375,6.187380731818356
incubator3,-1.0711111111111116,24.10659230096238,66.6239262672811,66.59721297337833,28.717222222222226,24.56798771121352,2.255251171105237,32.851,95.338,5.092974864670158,1528,3.0465074928496163,4.446719268544188
incubator4,-1.3272222222222219,24.24596675415573,66.52545161290323,66.49993363329584,28.39388888888889,24.790149586716407,2.3736128685520015,35.519,100,5.600295318076214,1522,3.124231563143812,4.868681544563526
incubator5,-0.0038888888888896946,23.974531933508313,68.25710928242265,68.22490091863517,28.02277777777778,24.20055226391632,2.223024835521127,32.563,100,5.682529122944182,1522,3.002502204931618,4.9578405644797785
incubator6,-0.5627777777777787,20.367537182852143,56.78563331138907,56.796375515560555,27.825,22.800143003437935,2.5572216216273795,38.465,94.561,7.576992822684742,1525,2.5101536834920943,6.275013541699602
incubator7,19.912222222222223,20.393077679449362,62.962243775548124,62.94878648766425,28.841111111111115,21.427261447623767,0.7838406604267176,24.457,82.214,6.294318695413837,2695,0.1890111945800499,5.118139275400395
incubator8,17.36777777777778,19.443914431673054,65.79141917610214,65.79663481800766,29.040000000000003,20.10595144409647,1.3314676761756212,33.677,84.073,6.0051949703535765,4157,1.2485060791150115,4.6895689940018634
Morris_Air,-29.121111111111112,-10.523666666666667,84.68851507537688,84.356305,22.728888888888893,-6.339586823003909,7.756080197830535,15.344,100,10.698802465995644,1195,8.194290682040045,10.208679811561353
Morris_Snow,-12.975000000000001,-4.985427777777778,94.02580653266331,93.63959416666667,22.92,-3.0820170295924068,4.139331701148688,15.204,100,9.854277468749581,1195,4.156263538884137,10.460735856077477
UMN_Air,-25.045,-7.994116666666667,75.44916499162478,75.40320916666667,20.91277777777778,-3.5157560952912714,6.7511621108520234,20.61,100,16.301410775486957,1195,6.884481857194767,12.305463706217713
UMN_Snow,-13.126111111111113,-3.7944944444444446,94.12008626465662,94.03117666666667,18.985000000000003,-2.035497859668714,3.2182299438512794,21.341,100,8.641229818606094,1195,3.0432564193579035,7.419163911468819
Waseca_Air,-29.52,-8.91898888888889,83.11116666666666,82.7764225,22.728888888888893,-4.039956728084869,7.68691338710804,14.918,100,13.96017110871513,1195,8.237261299791184,12.679532733187221
Waseca_Snow,-18.42888888888889,-5.635238888888889,86.28471691792295,85.943175,25.792777777777783,-2.0848953098827474,5.8154931338162,17.22,95.378,12.318780004050579,1195,5.719376888535159,11.766337549207892
